,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
475,1044, Babylon,3P16F9giedxmc5238b66bo,0,"['j-metal', 'k-rap', 'korean r&b']",31659,babylon
512,1151,Basick,7pXKdkQsYFCMG2omRxheJ2,0,['k-rap'],42313,basick
13,22, Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,0,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show']",2935500,bea miller
75,140,Beast,1Pr9gT0veB2tgcisQeIGoC,1,"['k-pop', 'k-pop boy group']",465542,beast
247,527,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,0,"['dance pop', 'pop', 'post-teen pop']",8078640,bebe rexha
47,90, Beenzino,7IrDIIq3j04exsiF3Z7CPg,0,"['k-indie', 'k-rap', 'korean r&b']",209820,beenzino
123,237,benny blanco,5CiGnKThu5ctn9pBxv7DGa,0,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",1036575,benny blanco
393,856, BIBI,6UbmqUEgjLA6jAcXwbM1Z9,0,"['k-pop', 'korean r&b']",863069,bibi
19,37, BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,1,"['k-pop', 'k-pop boy group']",5063902,bigbang
172,369, Bigtone,2UewyNNIcmy697ZLp6us78,0,[],6,bigtone
364,794, Biicla,72heZIc2iMXdpDwsTjTcCQ,0,['vapor twitch'],9280,biicla
339,750, Bizniz,1VZmQVn38jR2UG7QSWNoYw,0,['k-rap'],899,bizniz
194,423, Black Belt,0jiiP0IU9wLNybrIucmB6T,0,[],232,black belt
86,159,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,1,"['k-pop', 'k-pop girl group']",38950703,blackpink
90,167,Block B,4RnezwRV7VBJUCI1S0AE5u,1,"['k-pop', 'k-pop boy group', 'korean r&b']",991177,block b
269,579, BM,5lZV4z4dpX6IfTYlfUMvOE,0,[],38887,bm
325,724, BOBBY,7ieMQQDR0bdBPz572mtxwS,0,"['k-pop', 'k-rap']",868106,bobby
237,499, Bobby Kim,5s5g2cVTox2dzQE65XOD4z,0,['korean singer-songwriter'],5787,bobby kim
226,474, Boi B,7MJnvH71CgBGCN9obN4aY5,0,['k-rap'],8725,boi b
427,924, BOYFRIEND,2Pw8E6zZoeuksVWtyZPnzd,0,"['k-pop', 'k-pop boy group']",321979,boyfriend
428,930, Brave sound,1uEmHEZ4LdKTArYrXk09bP,0,[],0,brave sound
98,180,Brown Eyed Girls,2GEPtT5RDxrmdi0A4mbDi7,1,"['k-pop', 'k-pop girl group']",253710,brown eyed girls
106,197,BTOB,2hcsKca6hCfFMwwdbFvenJ,1,"['k-pop', 'k-pop boy group']",1453075,btob
120,232,BTS,3Nrfpe0tUJi4K4DXYWgMUX,1,"['k-pop', 'k-pop boy group']",62908734,bts
64,120, Buddy,74zjHeFm4yooE7SuemoFan,0,['partyschlager'],5359,buddy
353,767, Bun B,45a6gCQWq61lIUDmr1tKuO,0,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",842672,bun b
156,316, Burna Boy,3wcj11K77LjEY1PkEazffa,0,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']",5059449,burna boy
176,376,Cao Lu,2onoO0N62qYqnHJjTi0g0k,0,[],251,cao lu
334,741, Captain Planet,4gUzVXtJJ6UWTWobd18HqJ,0,[],247,captain planet
146,291, ChaMane,2jyURAEr7r2UfWMpFQDOQd,0,['k-rap'],1370,chamane
284,618, Chancellor,0u06YeydlBk3awnk5KgdBx,0,"['korean pop', 'korean r&b']",36636,chancellor
